code,name,market,close,volume,trade_value,turnover,short_used_ratio,margin_used_ratio,tv_rank_mkt,tv_pct_mkt,light_full,light_decision,light_top20
1101,台泥,TWSE,34.1,4315751.0,146648234.0,0.0,0.0,0.0,135.0,0.8529088913282108,0.5,0,0
1102,亞泥,TWSE,26.75,3347913.0,89540109.0,0.0,0.0,0.0,179.0,0.8046103183315039,0.5,0,0
1103,嘉泥,TWSE,12.2,164560.0,2004800.0,0.0,0.0,0.0,678.0,0.25686059275521406,0.0,0,0
1104,環泥,TWSE,22.65,249926.0,5655264.0,0.0,0.0,0.0,535.0,0.4138309549945115,0.0,0,0
1108,幸福,TWSE,8.35,257458.0,2143600.0,0.0,0.0,0.0,667.0,0.2689352360043908,0.0,0,0
1109,信大,TWSE,13.0,130000.0,1688898.0,0.0,0.0,0.0,707.0,0.22502744237102085,0.0,0,0
1110,東泥,TWSE,14.0,52001.0,734914.0,0.0,0.0,0.0,780.0,0.14489571899012074,0.0,0,0
1201,味全,TWSE,19.5,365204.0,7131705.0,0.0,0.0,0.0,502.0,0.4500548847420417,0.0,0,0
1203,味王,TWSE,25.05,27981.0,699523.0,0.0,0.0,0.0,786.0,0.13830954994511527,0.0,0,0
1210,大成,TWSE,32.25,1241631.0,40183436.0,0.0,0.0,0.0,270.0,0.7047200878155873,0.5,0,0
1213,大飲,TWSE,15.7,4200.0,65918.0,0.0,0.0,0.0,895.0,0.018660812294182216,0.0,0,0
1215,卜蜂,TWSE,61.0,577021.0,35291682.0,0.0,0.0,0.0,290.0,0.6827661909989023,0.0,0,0
1216,統一,TWSE,65.7,5809812.0,382564492.0,0.0,0.0,0.0,54.0,0.9418221734357849,1.0,0,0
1217,愛之味,TWSE,7.46,360404.0,2688348.0,0.0,0.0,0.0,632.0,0.30735455543358947,0.0,0,0
1218,泰山,TWSE,16.95,624798.0,10504862.0,0.0,0.0,0.0,439.0,0.5192096597145993,0.0,0,0
1219,福壽,TWSE,17.9,21163.0,377249.0,0.0,0.0,0.0,838.0,0.08122941822173436,0.0,0,0
1220,台榮,TWSE,10.35,122003.0,1262080.0,0.0,0.0,0.0,734.0,0.19538968166849616,0.0,0,0
1225,福懋油,TWSE,67.5,2664.0,178988.0,0.0,0.0,0.0,871.0,0.04500548847420417,0.0,0,0
1227,佳格,TWSE,73.0,253806.0,18542438.0,0.0,0.0,0.0,365.0,0.6004390779363337,0.0,0,0
1229,聯華,TWSE,35.25,4131495.0,143505080.0,0.0,0.0,0.0,136.0,0.8518111964873765,0.5,0,0
1231,聯華食,TWSE,33.35,83850.0,2800283.0,0.0,0.0,0.0,625.0,0.3150384193194292,0.0,0,0
1232,大統益,TWSE,90.7,18878.0,1713498.0,0.0,0.0,0.0,706.0,0.2261251372118551,0.0,0,0
1233,天仁,TWSE,34.4,17301.0,599944.0,0.0,0.0,0.0,798.0,0.1251372118551043,0.0,0,0
